anime_id,title,title_english,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year
7593,Kiss x Sis (TV),,"Kiss x Sis (2010), Kissxsis",https://myanimelist.cdn-dena.com/images/anime/3/25518.jpg,TV,Manga,12,Finished Airing,FALSE,"Apr 5, 2010 to Jun 21, 2010","{'from': '2010-04-05', 'to': '2010-06-21'}",24 min. per ep.,R+ - Mild Nudity,6.97,175745,3680,224,291333,1153,Episode 1 was pre-streamed on Bandai Channel on 25 March 2010.,Spring 2010,Unknown,Starchild Records,,feel.,"Harem, Comedy, Romance, Ecchi, School, Seinen",24,2010
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,Kanojo x Kanojo x Kanojo,,https://myanimelist.cdn-dena.com/images/anime/2/17720.jpg,OVA,Visual novel,3,Finished Airing,FALSE,"Dec 25, 2009 to May 20, 2011","{'from': '2009-12-25', 'to': '2011-05-20'}",29 min. per ep.,Rx - Hentai,7.53,10221,,2596,21169,326,"In 2013, the 3 episodes were released as a movie with approximately 1 minute of new content.",,,"Milky Animation Label, MS Pictures",Kitty Media,Studio Eromatick,"Harem, Hentai",29,2009
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,,,https://myanimelist.cdn-dena.com/images/anime/13/72853.jpg,Special,Manga,1,Finished Airing,FALSE,"Sep 15, 1999","{'from': '1999-09-15', 'to': '1999-09-15'}",24 min.,PG-13 - Teens 13 or older,6.03,98,7277,9732,445,0,,,,,,Toei Animation,"Comedy, Sci-Fi, Shounen",24,1999
35139,Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,,,https://myanimelist.cdn-dena.com/images/anime/8/84745.jpg,ONA,Original,1,Finished Airing,FALSE,"Mar 17, 2017","{'from': '2017-03-17', 'to': '2017-03-17'}",55 sec.,G - All Ages,5.36,47,9927,11317,193,0,,,,,,"Shin-Ei Animation, DLE",Comedy,0.9166666667,2017
1388,Yakin Byoutou Ni,,"Night Shift Nurses 2, Yakin Byoutou 2, NSN 2",https://myanimelist.cdn-dena.com/images/anime/10/44273.jpg,OVA,Visual novel,5,Finished Airing,FALSE,"Jul 30, 2004 to Jan 27, 2006","{'from': '2004-07-30', 'to': '2006-01-27'}",30 min. per ep.,Rx - Hentai,6.3,1220,,5705,3376,5,,,,"D3, Discovery",,AT-2,Hentai,30,2004
22,Tennis no Ouji-sama,The Prince of Tennis,,https://myanimelist.cdn-dena.com/images/anime/6/21624.jpg,TV,Manga,178,Finished Airing,FALSE,"Oct 10, 2001 to Mar 23, 2005","{'from': '2001-10-10', 'to': '2005-03-23'}",22 min. per ep.,PG-13 - Teens 13 or older,8.01,48149,550,806,107492,2833,"Since 2003, there has been a bi-annual musical that features different story arcs of the series. There also been a live action film based on the franchise.Prince of Tennis also has a lot of video game adaptations, a few Chinese dramas and a radio show based on the series. ",Fall 2001,Unknown,"Production I.G, Nihon Ad Systems",Viz Media,Trans Arts,"Action, Comedy, Sports, School, Shounen",22,2001
1016,Gunnm,Battle Angel Alita,"Ganmu, Tsutsu Yume: Gunnm, Battle Angel, Hyper Future Vision: Gunnm",https://myanimelist.cdn-dena.com/images/anime/11/41257.jpg,OVA,Manga,2,Finished Airing,FALSE,"Jun 21, 1993 to Aug 21, 1993","{'from': '1993-06-21', 'to': '1993-08-21'}",30 min. per ep.,R+ - Mild Nudity,7.22,14625,2719,2150,29153,131,,,,"Animate Film, Movic",ADV Films,Madhouse,"Drama, Mecha, Sci-Fi, Shounen",30,1993
2051,Akai Kiba: Blue Sonnet,Blue Sonnet,"Akai Kiba, Red Fang Blue Sonnet",https://myanimelist.cdn-dena.com/images/anime/7/41071.jpg,OVA,Manga,5,Finished Airing,FALSE,"Jul 16, 1989 to Jun 25, 1990","{'from': '1989-07-16', 'to': '1990-06-25'}",29 min. per ep.,R+ - Mild Nudity,6.09,482,7102,7736,1305,0,,,,"Mushi Production, Nippon Television Network",Central Park Media,Tatsunoko Production,"Action, Drama, Sci-Fi, Shoujo, Super Power",29,1989
7155,Beat Shot!!,Watch Me Sink My Putz,,https://myanimelist.cdn-dena.com/images/anime/11/16823.jpg,OVA,Manga,1,Finished Airing,FALSE,"May 25, 1989","{'from': '1989-05-25', 'to': '1989-05-25'}",27 min.,Rx - Hentai,5.55,95,8270,9795,427,0,,,,"AIC, Magic Bus",,Gainax,Sports,27,1989
34943,T7S Longing for Summer Again and Again: Harukaze,,Tokyo 7th Sisters Longing for Summer Again and Again: Harukaze,https://myanimelist.cdn-dena.com/images/anime/3/84343.jpg,Music,Game,1,Finished Airing,FALSE,"Apr 19, 2017","{'from': '2017-04-19', 'to': '2017-04-19'}",10 min.,PG-13 - Teens 13 or older,6.47,82,5738,9408,532,1,,,,"Genco, Magic Capsule, Donuts",,Chiptune,"Music, School",10,2017
